Data, min_l2_norm, max_l1_norm, valid_mse, test_mse, Range 
blood, 0.72 (0.72/0.74), 0.72 (0.72/0.74), 0.62 (0.61/0.62), 0.7 (0.68/0.71), 0.1 (0.11/0.12)
breast-cancer, 0.64 (0.61/0.65), 0.64 (0.61/0.65), 0.61 (0.6/0.64), 0.71 (0.66/0.71), 0.1 (0.06/0.08)
fertility, 0.66 (0.62/0.7), 0.69 (0.62/0.69), 0.65 (0.64/0.7), 0.64 (0.57/0.64), 0.05 (0.06/0.06)
heart-hungarian, 0.75 (0.7/0.77), 0.75 (0.7/0.77), 0.71 (0.56/0.72), 0.85 (0.82/0.86), 0.14 (0.26/0.14)
hepatitis, 0.75 (0.74/0.78), 0.75 (0.74/0.78), 0.73 (0.69/0.75), 0.77 (0.77/0.9), 0.05 (0.08/0.15)
hill-valley, 0.64 (0.64/0.65), 0.65 (0.64/0.65), 0.64 (0.64/0.67), 0.64 (0.64/0.65), 0.0 (0.0/0.01)
mammographic, 0.77 (0.77/0.77), 0.77 (0.77/0.77), 0.57 (0.56/0.62), 0.78 (0.78/0.8), 0.21 (0.22/0.18)
monks-1, 0.67 (0.64/0.71), 0.66 (0.64/0.71), 0.49 (0.48/0.51), 0.57 (0.51/0.61), 0.17 (0.15/0.2)
planning, 0.53 (0.51/0.61), 0.52 (0.51/0.61), 0.53 (0.52/0.53), 0.7 (0.68/0.74), 0.17 (0.17/0.21)
spectf, 0.64 (0.62/0.7), 0.64 (0.62/0.7), 0.56 (0.53/0.56), 0.58 (0.56/0.66), 0.08 (0.09/0.14)
horse-colic, 0.75 (0.75/0.76), 0.59 (0.57/0.61), 0.74 (0.73/0.75), 0.85 (0.85/0.85), 0.26 (0.27/0.24)
ilpd-indian-liver, 0.59 (0.57/0.6), 0.59 (0.57/0.6), 0.53 (0.53/0.57), 0.72 (0.7/0.73), 0.19 (0.17/0.17)
parkinsons, 0.74 (0.72/0.74), 0.74 (0.72/0.74), 0.65 (0.65/0.74), 0.88 (0.86/0.9), 0.23 (0.21/0.16)
pima, 0.68 (0.66/0.68), 0.68 (0.66/0.68), 0.68 (0.64/0.7), 0.87 (0.86/0.88), 0.2 (0.22/0.19)
tic-tac-toe, 0.98 (0.98/0.98), 0.76 (0.69/0.8), 0.98 (0.98/0.99), 1.0 (1.0/1.0), 0.24 (0.31/0.2)
statlog-heart, 0.71 (0.7/0.73), 0.71 (0.7/0.73), 0.7 (0.67/0.73), 0.84 (0.83/0.86), 0.14 (0.17/0.13)
ionosphere, 0.85 (0.83/0.86), 0.76 (0.73/0.76), 0.84 (0.84/0.84), 0.88 (0.88/0.89), 0.12 (0.15/0.12)
